trip_id,arrival_time,departure_time,stop_id,sequence,pickup_type,drop_off_type
1077420,12:33:00,12:33:00,3193,17,0,0
1077421,12:03:00,12:03:00,3193,17,0,0
1077422,11:33:00,11:33:00,3193,17,0,0
1077423,11:03:00,11:03:00,3193,17,0,0
1077424,10:34:00,10:34:00,3193,17,0,0
1077425,10:04:00,10:04:00,3193,17,0,0
1077426,9:34:00,9:34:00,3193,17,0,0
1077427,9:04:00,9:04:00,3193,17,0,0
1077428,8:33:00,8:33:00,3193,17,0,0
1077429,8:03:00,8:03:00,3193,17,0,0
1077430,7:33:00,7:33:00,3193,17,0,0
1077431,7:03:00,7:03:00,3193,17,0,0
1077432,8:18:00,8:18:00,3193,17,0,0
1077452,21:49:00,21:49:00,3193,17,0,0
1077453,20:49:00,20:49:00,3193,17,0,0
1077454,19:49:00,19:49:00,3193,17,0,0
1077455,19:04:00,19:04:00,3193,17,0,0
1077456,18:19:00,18:19:00,3193,17,0,0
1077457,17:34:00,17:34:00,3193,17,0,0
1077458,16:49:00,16:49:00,3193,17,0,0
1077459,16:04:00,16:04:00,3193,17,0,0
1077460,15:19:00,15:19:00,3193,17,0,0
1077461,14:34:00,14:34:00,3193,17,0,0
1077462,13:49:00,13:49:00,3193,17,0,0
1077463,13:04:00,13:04:00,3193,17,0,0
1077464,12:19:00,12:19:00,3193,17,0,0
1077465,11:34:00,11:34:00,3193,17,0,0
1077466,10:49:00,10:49:00,3193,17,0,0
1077467,10:04:00,10:04:00,3193,17,0,0
1077468,9:19:00,9:19:00,3193,17,0,0
1077469,8:19:00,8:19:00,3193,17,0,0
1077470,7:19:00,7:19:00,3193,17,0,0
1077489,21:19:00,21:19:00,3193,17,0,0
1077490,20:19:00,20:19:00,3193,17,0,0
1077491,19:19:00,19:19:00,3193,17,0,0
1077492,18:34:00,18:34:00,3193,17,0,0
1077493,17:49:00,17:49:00,3193,17,0,0
1077494,17:04:00,17:04:00,3193,17,0,0
1077495,16:19:00,16:19:00,3193,17,0,0
1077496,15:34:00,15:34:00,3193,17,0,0
1077497,14:49:00,14:49:00,3193,17,0,0
1077498,14:04:00,14:04:00,3193,17,0,0
1077499,13:19:00,13:19:00,3193,17,0,0
1077500,12:34:00,12:34:00,3193,17,0,0
1077501,11:49:00,11:49:00,3193,17,0,0
1077502,11:04:00,11:04:00,3193,17,0,0
1077503,10:19:00,10:19:00,3193,17,0,0
1077504,9:19:00,9:19:00,3193,17,0,0
1077505,8:19:00,8:19:00,3193,17,0,0
1077506,7:19:00,7:19:00,3193,17,0,0
1077403,20:57:00,20:57:00,3185,10,0,0
1077404,19:57:00,19:57:00,3185,10,0,0
1077405,20:27:00,20:27:00,3185,10,0,0
1077406,19:27:00,19:27:00,3185,10,0,0
1077407,18:57:00,18:57:00,3185,10,0,0
1077408,18:27:00,18:27:00,3185,10,0,0
1077409,17:57:00,17:57:00,3185,10,0,0
1077410,17:25:00,17:25:00,3185,10,0,0
1077411,16:55:00,16:55:00,3185,10,0,0
1077412,16:25:00,16:25:00,3185,10,0,0
1077413,15:55:00,15:55:00,3185,10,0,0
1077414,15:25:00,15:25:00,3185,10,0,0
1077415,14:55:00,14:55:00,3185,10,0,0
1077416,14:25:00,14:25:00,3185,10,0,0
1077417,13:55:00,13:55:00,3185,10,0,0
1077418,13:25:00,13:25:00,3185,10,0,0
1077419,12:55:00,12:55:00,3185,10,0,0
1077420,12:25:00,12:25:00,3185,10,0,0
1077421,11:55:00,11:55:00,3185,10,0,0
1077422,11:25:00,11:25:00,3185,10,0,0
1077423,10:55:00,10:55:00,3185,10,0,0
1077424,10:28:00,10:28:00,3185,10,0,0
1077425,9:58:00,9:58:00,3185,10,0,0
1077426,9:28:00,9:28:00,3185,10,0,0
1077427,8:58:00,8:58:00,3185,10,0,0
1077428,8:25:00,8:25:00,3185,10,0,0
1077429,7:55:00,7:55:00,3185,10,0,0
1077430,7:25:00,7:25:00,3185,10,0,0
1077431,6:55:00,6:55:00,3185,10,0,0
1077432,8:10:00,8:10:00,3185,10,0,0
1077452,21:43:00,21:43:00,3185,10,0,0
1077453,20:43:00,20:43:00,3185,10,0,0
1077454,19:43:00,19:43:00,3185,10,0,0
1077455,18:58:00,18:58:00,3185,10,0,0
1077456,18:13:00,18:13:00,3185,10,0,0
1077457,17:28:00,17:28:00,3185,10,0,0
1077458,16:43:00,16:43:00,3185,10,0,0
1077459,15:58:00,15:58:00,3185,10,0,0
1077460,15:13:00,15:13:00,3185,10,0,0
1077461,14:28:00,14:28:00,3185,10,0,0
1077462,13:43:00,13:43:00,3185,10,0,0
1077463,12:58:00,12:58:00,3185,10,0,0
1077464,12:13:00,12:13:00,3185,10,0,0
1077465,11:28:00,11:28:00,3185,10,0,0
1077466,10:43:00,10:43:00,3185,10,0,0
1077467,9:58:00,9:58:00,3185,10,0,0
1077468,9:13:00,9:13:00,3185,10,0,0
1077469,8:13:00,8:13:00,3185,10,0,0
1077470,7:13:00,7:13:00,3185,10,0,0
1077489,21:13:00,21:13:00,3185,10,0,0
1077490,20:13:00,20:13:00,3185,10,0,0
1077491,19:13:00,19:13:00,3185,10,0,0
1077492,18:28:00,18:28:00,3185,10,0,0
1077493,17:43:00,17:43:00,3185,10,0,0
1077494,16:58:00,16:58:00,3185,10,0,0
1077495,16:13:00,16:13:00,3185,10,0,0
1077496,15:28:00,15:28:00,3185,10,0,0
1077497,14:43:00,14:43:00,3185,10,0,0
1077498,13:58:00,13:58:00,3185,10,0,0
1077499,13:13:00,13:13:00,3185,10,0,0
1077500,12:28:00,12:28:00,3185,10,0,0
1077501,11:43:00,11:43:00,3185,10,0,0
1077502,10:58:00,10:58:00,3185,10,0,0
1077503,10:13:00,10:13:00,3185,10,0,0
1077504,9:13:00,9:13:00,3185,10,0,0
1077505,8:13:00,8:13:00,3185,10,0,0
1077506,7:13:00,7:13:00,3185,10,0,0
1076992,22:29:00,22:29:00,3894,5,0,0
1076993,21:59:00,21:59:00,3894,5,0,0
1076994,21:29:00,21:29:00,3894,5,0,0
1076995,20:59:00,20:59:00,3894,5,0,0
1076996,20:29:00,20:29:00,3894,5,0,0
1076997,19:59:00,19:59:00,3894,5,0,0
1076998,19:29:00,19:29:00,3894,5,0,0
1076999,18:59:00,18:59:00,3894,5,0,0
1077000,18:29:00,18:29:00,3894,5,0,0
1077001,17:59:00,17:59:00,3894,5,0,0
1077002,17:29:00,17:29:00,3894,5,0,0
1077003,16:59:00,16:59:00,3894,5,0,0
1077004,16:29:00,16:29:00,3894,5,0,0
1077005,15:59:00,15:59:00,3894,5,0,0
1077006,15:29:00,15:29:00,3894,5,0,0
1077007,14:59:00,14:59:00,3894,5,0,0
1077008,14:29:00,14:29:00,3894,5,0,0
1077009,13:59:00,13:59:00,3894,5,0,0
1077010,13:29:00,13:29:00,3894,5,0,0
1077011,12:59:00,12:59:00,3894,5,0,0
